﻿Emendas Parlamentares 2020;;;;;;;;;;
Autor;Emenda;Órgão;Aprovado;Alteração;Movimentação;Bloqueado;Autorizado;Empenhado;Liquidado;Pago
JÚLIA LUCY;10.301.6202.3135.0036 - CONSTRUÇÃO DE PRÉDIOS E PRÓPRIOS - UNIDADES BÁSICAS DE SAÚDE;COMPANHIA URB. DA NOVA CAPITAL DO BRASIL-NOVACAP;0;0;2.676.187,97;0;2.676.187,97;2.676.187,97;2.287.413,24;2.282.536,32
CLÁUDIO ABRANTES;12.122.6221.9068.0208 - TRANSFERÊNCIA POR MEIO DE DESCENTRALIZAÇÃO DE RECURSOS FINANCEIROS PARA AS ESCOLAS DO DISTRITO FEDERAL - PDAF;SECRETARIA DE ESTADO DE EDUCAÇÃO DO DF;0;2.600.000,00;0;0;2.600.000,00;2.600.000,00;2.600.000,00;2.600.000,00
CHICO VIGILANTE;12.122.6221.9068.0198 - DESCENTRALIZAÇÃO DE RECURSOS FINANCEIROS PARA ESCOLAS DO DISTRITO FEDERAL;SECRETARIA DE ESTADO DE EDUCAÇÃO DO DF;2.000.000,00;546.650,00;0;0;2.546.650,00;2.546.650,00;2.546.650,00;2.546.650,00
JOSÉ GOMES;10.301.6202.3135.0042 - CONSTRUÇÃO DE UNIDADES BÁSICAS DE SAÚDE-UBS-DISTRITO FEDERAL;COMPANHIA URB. DA NOVA CAPITAL DO BRASIL-NOVACAP;0;0;2.500.000,00;0;2.500.000,00;2.500.000,00;1.420.950,55;1.413.381,08
JORGE VIANNA;10.122.6202.4166.0022 - PLANEJAMENTO E GESTÃO DA ATENÇÃO ESPECIALIZADA-PROGRAMA DE DESCENTRALIZAÇÃO PROGRESSIVA DAS AÇÕES DE SAÚDE  - PDPAS-SES-2020-DISTRITO FEDERAL;SECRETARIA DE ESTADO DE SAÚDE DO DISTRITO FEDERAL;0;0;2.400.000,00;0;2.400.000,00;2.400.000,00;2.400.000,00;2.400.000,00
EDUARDO PEDROSA;13.392.6219.9075.0116 - TRANSFERÊNCIA DE RECURSOS PARA PROJETOS CULTURAIS EM PROL DE TODA COMUNIDADE DO DF;SECRETARIA DE EST. DE CULTURA E ECON. CRIAT. DO DF;1.900.000,00;770.000,00;0;-52.000,00;2.618.000,00;2.389.000,77;2.389.000,77;2.389.000,77
LEANDRO GRASS;12.122.6221.9068.0202 - PROGRAMA DE DESCENTRALIZAÇÃO DE RECURSOS FINANCEIROS PARA AS ESCOLAS PÚBLICAS DO DISTRITO FEDERAL - PDAF;SECRETARIA DE ESTADO DE EDUCAÇÃO DO DF;2.500.000,00;-120.200,00;0;0;2.379.800,00;2.379.800,00;2.379.800,00;2.379.800,00
IOLANDO ALMEIDA;15.451.6209.1110.8159 - INFRAESTRUTURA E URBANIZAÇÃO EM BRAZLANDIA;COMPANHIA URB. DA NOVA CAPITAL DO BRASIL-NOVACAP;2.300.000,00;0;0;0;2.300.000,00;2.299.894,16;2.299.894,16;2.299.894,16
FERNANDO FERNANDES;10.301.6202.3135.0043 - CONSTRUÇÃO DE UNIDADES BÁSICAS DE SAÚDE-UBS DA QNR 02- CEILÂNDIA;COMPANHIA URB. DA NOVA CAPITAL DO BRASIL-NOVACAP;0;2.290.500,00;0;0;2.290.500,00;2.290.500,00;1.222.992,34;1.212.686,25
ROBÉRIO NEGREIROS;11.122.8207.8517.0164 - MANUTENÇÃO DE SERVIÇOS ADMINISTRATIVOS GERAIS-EM 2020-DISTRITO FEDERAL;SECR. DE ESTADO DE TRABALHO DO DISTRITO FEDERAL;0;2.391.657,00;0;0;2.391.657,00;2.086.343,00;2.086.343,00;2.061.306,89
HERMETO;13.392.6219.9075.0125 - APOIO À EVENTOS EM TODO DISTRITO FEDERAL;SECRETARIA DE EST. DE CULTURA E ECON. CRIAT. DO DF;1.424.636,00;646.037,00;0;0;2.070.673,00;2.070.672,80;2.070.672,80;2.070.672,80
REGINALDO SARDINHA;12.122.6221.9068.0193 - DESCENTRALIZAÇÃO DE RECURSOS FINANCEIROS PARA ESCOLAS DO DF - PDAF (EM 2020);SECRETARIA DE ESTADO DE EDUCAÇÃO DO DF;2.764.000,00;-665.000,00;0;0;2.099.000,00;2.069.000,00;2.069.000,00;2.069.000,00
JAQUELINE SILVA;26.782.6216.5745.0016 - EXECUÇÃO DE PAVIMENTAÇÃO ASFÁLTICA-VC 371- SANTA MARIA;DEPTO DE ESTRADAS E RODAGEM DO DF - DER/DF;0;2.000.000,00;0;0;2.000.000,00;2.000.000,00;2.000.000,00;2.000.000,00
