﻿Emendas Parlamentares 2020;;;;;;;;;;
Autor;Emenda;Órgão;Aprovado;Alteração;Movimentação;Bloqueado;Autorizado;Empenhado;Liquidado;Pago
JAQUELINE SILVA;15.122.8205.3903.9826 - REFORMA DE PRÉDIOS E  PRÓPRIOS NA REGIÃO ADMINISTRATIVA DE SANTA MARIA -RA XIII;ADMINISTRAÇÃO REGIONAL DE SANTA MARIA;300.000,00;0;0;0;300.000,00;300.000,00;300.000,00;297.886,31
CHICO VIGILANTE;13.392.6219.9075.0133 - APOIO AO PROJETO CULTURAL ITINERÂNCIA FORROZEIRA;SECRETARIA DE EST. DE CULTURA E ECON. CRIAT. DO DF;300.000,00;0;0;0;300.000,00;300.000,00;300.000,00;300.000,00
JOÃO CARDOSO;15.451.6209.1110.8155 - EXECUÇÃO DE OBRAS DE INFRAESTRUTURA E REPAROS NA GRANJA DO TORTO;COMPANHIA URB. DA NOVA CAPITAL DO BRASIL-NOVACAP;300.000,00;0;0;0;300.000,00;300.000,00;299.588,15;299.588,15
MARTINS MACHADO;26.451.6216.3087.3893 - EXECUÇÃO DE OBRAS DE ACESSIBILIDADE-ADEQUAÇÃO DE ACESSIBILIDADE EM ESTAÇÕES DO METRÔ-DISTRITO FEDERAL;COMPANHIA DO METROPOLITANO DO DF - METRÔ-DF;300.000,00;0;0;0;300.000,00;299.999,00;260.306,16;260.306,16
RODRIGO DELMASSO;23.695.6207.9085.0025 - APOIO A PROJETOS DE DESENVOLVIMENTO DO TURISMO NO DF (EM 2021);SECRETARIA DE EST. DE TURISMO DO DISTRITO FEDERAL;0;300.000,00;0;0;300.000,00;299.971,20;299.971,20;299.971,20
EDUARDO PEDROSA;11.333.6207.9107.0049 - TRANSFERÊNCIA FINANCEIRA A ENTIDADES-APOIO A PROJETOS DE CAPACITAÇÃO DOS TRABALHADORES PARA EMPREENDEDORISMO E GERAÇÃO DE EMPREGO E RENDA -DISTRITO FEDERAL;SECRETARIA DE EST. DE CULTURA E ECON. CRIAT. DO DF;0;0;300.000,00;0;300.000,00;299.760,00;299.760,00;299.760,00
RODRIGO DELMASSO;14.243.6211.9078.0037 - TRANSFERÊNCIA ÀS INSTITUIÇÕES DE ASSISTÊNCIA ÀS CRIANÇAS E AOS ADOLESCENTES-PROJETO JOVEM PROTAGONISTA-DISTRITO FEDERAL;CASA CIVIL DO DISTRITO FEDERAL;0;0;300.000,00;0;300.000,00;299.505,00;299.505,00;221.905,00
JORGE VIANNA;10.126.8202.1471.5905 - MANUTENÇÃO DE SERVIÇOS ADMINISTRATIVOS GERAIS - FHB - AQUISIÇÃO DE EQUIPAMENTOS DE INFORMÁTICA;FUNDAÇÃO HEMOCENTRO DE BRASÍLIA - FHB;300.000,00;0;0;0;300.000,00;299.026,00;299.026,00;299.026,00
HERMETO;15.752.6209.8507.0028 - MANUTENÇÃO DO SISTEMA DE ILUMINAÇÃO PÚBLICA-NO DISTRITO FEDERAL-DISTRITO FEDERAL;SECRETARIA DE ESTADO DE OBRAS E INFRAEST. DO DF;0;300.000,00;0;0;300.000,00;298.595,10;44.158,52;42.745,45
DANIEL DONIZET;10.303.6202.4216.0025 - AQUISIÇÃO DE MEDICAMENTOS- COVID 19 - SES-DISTRITO FEDERAL;SECRETARIA DE ESTADO DE SAÚDE DO DISTRITO FEDERAL;0;0;300.000,00;0;300.000,00;294.563,70;294.563,70;294.563,70
LEANDRO GRASS;18.541.6210.3216.0004 - IMPLANTAÇÃO DO ZONEAMENTO ECOLÓGICO ECONÔMICO-ZEE NO DISTRITO FEDERAL;SECRETARIA DE ESTADO DO MEIO AMBIENTE;0;300.000,00;0;0;300.000,00;294.000,00;294.000,00;290.472,00
AGACIEL MAIA;27.812.6206.9080.0035 - APOIO A EVENTOS ESPORTIVOS EM TODO DF - H;SECRETARIA DE ESTADO DE ESPORTE E LAZER DO DF;1.000.000,00;0;0;0;1.000.000,00;292.215,76;292.215,76;292.215,76
EDUARDO PEDROSA;25.752.6209.1836.7016 - AMPLIAÇÃO DOS PONTOS DE ILUMINAÇÃO PÚBLICA-AMPLIAÇÃO DOS PONTOS DE ILUMINAÇÃO PÚBLICA EM PROL DE TODA COMUNIDADE DO DF-DISTRITO FEDERAL;SECRETARIA DE ESTADO DE OBRAS E INFRAEST. DO DF;1.500.000,00;-1.198.587,00;0;0;301.413,00;290.845,96;224.430,58;217.332,75
LEANDRO GRASS;18.542.6210.9088.0005 - MANUTENÇÃO E AMPLIAÇÃO DOS SERVIÇOS MÉDICOS VETERINÁRIOS DO HOSPITAL VETERINÁRIO PÚBLICO - HVEP;INSTITUTO DE MEIO AMBIENTE E REC. HÍDRICOS DO DF;289.000,00;0;0;0;289.000,00;289.000,00;289.000,00;289.000,00
JOÃO CARDOSO;06.181.6217.4031.0023 - INSTALAÇÃO DO PROJETO DE VIDEOMONITORAMENTO EM SOBRADINHO, SOBRADINHO II, FERCAL E SAÍDA NORTE;SECRETARIA DE EST. DE  SEGURANÇA PÚBLICA DO DF;300.000,00;0;0;0;300.000,00;286.500,00;0;0
IOLANDO ALMEIDA;15.451.6209.1110.0312 - EXECUÇÃO DE OBRAS DE URBANIZAÇÃO-OBRAS DE URBANIZAÇÃO DIVERSAS - PLANALTINA;ADMINISTRAÇÃO REGIONAL DE PLANALTINA;0;350.000,00;0;0;350.000,00;282.363,14;282.363,14;279.694,13
RODRIGO DELMASSO;27.812.6206.9080.0046 - REALIZAÇÃO DA CORRIDA PURPLERUN;SECRETARIA DE ESTADO DE ESPORTE E LAZER DO DF;300.000,00;0;0;0;300.000,00;282.029,20;282.029,20;282.029,20
PROF. REGINALDO VERAS;10.302.6202.3736.0003 - IMPLANTAÇÃO DE BASE DO SAMU;COMPANHIA URB. DA NOVA CAPITAL DO BRASIL-NOVACAP;0;0;281.585,93;0;281.585,93;281.585,93;281.585,93;280.983,59
HERMETO;15.752.6209.1836.7011 - AMPLIAÇÃO DOS PONTOS DE ILUMINAÇÃO PÚBLICA DO RIACHO FUNDO I;SECRETARIA DE ESTADO DE OBRAS E INFRAEST. DO DF;0;0;279.973,34;0;279.973,34;279.973,34;11.660,80;11.660,80
JORGE VIANNA;20.606.6201.3467.0080 - AQUISIÇÃO DE EQUIPAMENTOS-(EM 2021)-DISTRITO FEDERAL;SECRETARIA DE AGRIC. ABASTECIMENTO E DESENV RURAL;0;300.000,00;0;0;300.000,00;272.930,00;272.930,00;272.930,00
RODRIGO DELMASSO;14.243.6211.9078.0035 - TRANSFERÊNCIA ÀS INSTITUIÇÕES DE ASSISTÊNCIA ÀS CRIANÇAS E AOS ADOLESCENTES-PR0OJETO PROTAGONISTA-DISTRITO FEDERAL;CASA CIVIL DO DISTRITO FEDERAL;0;0;268.966,00;0;268.966,00;268.966,00;268.966,00;184.000,00
HERMETO;15.451.6209.1836.7007 - AMPLICAÇÃO DOS PONTOS DE ILUMINAÇÃO PÚBLICA NA REGIÃO DO NÚCLEO BANDEIRANTE;ADMINISTRAÇÃO REGIONAL DO  NÚCLEO BANDEIRANTE;800.000,00;-450.000,00;0;0;350.000,00;261.344,06;261.344,06;261.344,06
RAFAEL PRUDENTE;15.451.6206.3902.0065 - REFORMA DE PRAÇAS PÚBLICAS E PARQUES- - REFORMA DA PRAÇA PRINCIPAL DO PARANOÁ - PARANOÁ;ADMINISTRAÇÃO REGIONAL DO PARANOÁ;0;0;500.000,00;0;500.000,00;260.419,61;19.086,95;19.086,95
CLÁUDIO ABRANTES;27.812.6206.9080.0057 - REALIZAÇÃO DE EVENTOS PARA A PROMOÇÃO DE LAZER E ESPORTE EM TODO O DISTRITO FEDERAL;SECRETARIA DE ESTADO DE ESPORTE E LAZER DO DF;850.000,00;-590.781,00;0;0;259.219,00;259.218,64;259.218,64;259.218,64
ROBÉRIO NEGREIROS;15.451.6209.1110.8124 - EXECUÇÃO DE OBRAS DE URBANIZAÇÃO NA RA VI EM 2020;ADMINISTRAÇÃO REGIONAL DE PLANALTINA;500.000,00;-170.000,00;0;0;330.000,00;253.493,43;253.493,43;253.493,43
REGINALDO SARDINHA;25.752.6209.1836.0094 - AMPLIAÇÃO DOS PONTOS DE ILUMINAÇÃO PÚBLICA-- SUDOESTE/OCTOGONAL;ADMINISTRAÇÃO REGIONAL DO SUDOESTE/OCTOGONAL;0;263.795,00;0;0;263.795,00;252.625,41;195.414,76;195.414,76
FÁBIO FÉLIX;16.482.6208.3571.0008 - REFORMA DE CASAS POPULARES;COMPANHIA DE DESENV. DA HABITAÇÃO  DO DF - CODHAB;500.000,00;-248.687,00;0;0;251.313,00;251.312,66;251.291,55;251.291,55
CLÁUDIO ABRANTES;27.812.6206.9080.0056 - APOIO A PROJETO UNA - UNIDADE NACIONAL DE ACESSIBILIDADE;SECRETARIA DE ESTADO DE ESPORTE E LAZER DO DF;550.000,00;-300.000,00;0;0;250.000,00;250.000,00;250.000,00;250.000,00
LEANDRO GRASS;12.122.6221.9068.0226 - TRANSFERÊNCIA POR MEIO DE DESCENTRALIZAÇÃO DE RECURSOS FINANCEIROS PARA AS ESCOLAS-PROGRAMA DE DESCENTRALIZAÇÃO DE RECURSOS FINANCEIROS PARA AS ESCOLAS PÚBLICAS -  PDAF PARA COORDENAÇÃO REGIONAL DE ENSINO DE SANTA MARIA- SANTA MARIA;SECRETARIA DE ESTADO DE EDUCAÇÃO DO DF;0;250.000,00;0;0;250.000,00;250.000,00;250.000,00;250.000,00
EDUARDO PEDROSA;10.302.6202.3467.0051 - AQUISIÇÃO DE EQUIPAMENTOS-PARA A ÁREA DE SAÚDE - COMBATE AO CORONAVÍRUS-DISTRITO FEDERAL;SECRETARIA DE ESTADO DE SAÚDE DO DISTRITO FEDERAL;0;0;250.000,00;0;250.000,00;250.000,00;0;0
HERMETO;12.122.6221.9068.0191 - DESCENTRALIZAÇÃO DE RECURSOS FINANCEIROS PARA ESCOLAS DO DISTRITO FEDERAL ? PDAF;SECRETARIA DE ESTADO DE EDUCAÇÃO DO DF;0;250.000,00;0;0;250.000,00;250.000,00;250.000,00;250.000,00
JÚLIA LUCY;10.301.8217.4057.0006 - ASSISTÊNCIA MÉDICA-ASSISTÊNCIA MÉDICA E ODONTOLÓGICA AOS POLICIAIS MILITARES E SEUS DEPENDENTES LEGAIS DA PMDF-DISTRITO FEDERAL-DISTRITO FEDERAL;FUNDO DE SAÚDE DA POLÍCIA MILITAR;0;250.000,00;0;0;250.000,00;250.000,00;250.000,00;250.000,00
LEANDRO GRASS;12.122.6221.9068.0227 - TRANSFERÊNCIA POR MEIO DE DESCENTRALIZAÇÃO DE RECURSOS FINANCEIROS PARA AS ESCOLAS-PROGRAMA DE DESCENTRALIZAÇÃO DE RECURSOS FINANCEIROS PARA AS ESCOLAS PÚBLICAS -  PDAF PARA COORDENAÇÃO REGIONAL DE ENSINO DE SANTA MARIA- SANTA MARIA;SECRETARIA DE ESTADO DE EDUCAÇÃO DO DF;0;250.000,00;0;0;250.000,00;250.000,00;250.000,00;250.000,00
JAQUELINE SILVA;15.752.6209.8507.6487 - MANUTENÇÃO DO SISTEMA DE ILUMINAÇÃO PÚBLICA-MANUTENÇÃO DO SISTEMA DE ILUMINAÇÃO PÚBLICA NAS REGIÕES ADMINISTRATIVAS DO DISTRITO FEDEAL-DF-DISTRITO FEDERAL;SECRETARIA DE ESTADO DE OBRAS E INFRAEST. DO DF;1.720.000,00;-1.470.000,00;0;0;250.000,00;248.508,17;248.432,86;240.483,02
LEANDRO GRASS;18.541.6210.9121.0003 - TRANSFERÊNCIA DE RECURSOS PARA PROJETOS AMBIENTAIS-APOIO A PROJETOS AMBIENTAIS NO DISTRITO FEDERAL-DISTRITO FEDERAL;SECRETARIA DE ESTADO DO MEIO AMBIENTE;0;250.000,00;0;0;250.000,00;248.052,12;248.052,12;248.052,12
HERMETO;15.451.6209.1110.8146 - APOIO À EXECUÇÃO DE OBRAS DE URBANIZAÇÃO;ADMINISTRAÇÃO REGIONAL DA CANDANGOLÂNDIA;1.200.000,00;-950.000,00;0;0;250.000,00;244.423,37;187.075,54;187.075,54
MARTINS MACHADO;15.752.6209.1836.7021 - AMPLIAÇÃO DOS PONTOS DE ILUMINAÇÃO PÚBLICA-AMPLIAÇÃO DE REDE DE ILUMINAÇÃO NO DISTRITO FEDERAL-DISTRITO FEDERAL;SECRETARIA DE ESTADO DE OBRAS E INFRAEST. DO DF;800.000,00;-540.000,00;0;0;260.000,00;232.006,12;8.162,56;7.924,67
JAQUELINE SILVA;15.122.8205.3903.0080 - REFORMA DE PRÉDIOS E PRÓPRIOS-RA XIII- SANTA MARIA;ADMINISTRAÇÃO REGIONAL DE SANTA MARIA;0;250.000,00;0;0;250.000,00;230.796,61;222.102,64;218.425,35
LEANDRO GRASS;12.122.6221.9068.0231 - TRANSFERÊNCIA POR MEIO DE DESCENTRALIZAÇÃO DE RECURSOS FINANCEIROS PARA AS ESCOLAS-PROGRAMA DE DESCENTRALIZAÇÃO DE RECURSOS FINANCEIROS PARA AS ESCOLAS PÚBLICAS PDAF PARA COORDENAÇÃO REGIONAL DE ENSINO DE SÃO SEBASTIÃO- SÃO SEBASTIÃO;SECRETARIA DE ESTADO DE EDUCAÇÃO DO DF;0;230.000,00;0;0;230.000,00;230.000,00;230.000,00;230.000,00
JAQUELINE SILVA;27.812.6206.9080.0072 - APOIO A EVENTOS ESPORTIVOS - JOGOS ESCOLARES;SECRETARIA DE ESTADO DE ESPORTE E LAZER DO DF;0;300.000,00;0;0;300.000,00;229.787,90;229.787,90;229.787,90
IOLANDO ALMEIDA;15.451.6209.1110.8169 - EXECUÇÃO DE OBRAS PARA MOBILIDADE DA PESSOA COM DEFICIÊNCIA;COMPANHIA URB. DA NOVA CAPITAL DO BRASIL-NOVACAP;1.924.636,00;-1.695.134,00;0;-2;229.500,00;229.233,59;229.233,59;229.233,59
FERNANDO FERNANDES;13.392.6219.9075.0137 - TRANSFERÊNCIA DE RECURSOS PARA PROJETOS CULTURAIS NO DF.;SECRETARIA DE EST. DE CULTURA E ECON. CRIAT. DO DF;2.160.636,00;-1.943.667,00;0;0;216.969,00;216.738,01;216.738,01;216.738,01
EDUARDO PEDROSA;12.122.6221.9068.0184 - DESCENTRALIZÇÃO DE RECURSOS FINANCEIROS EM PROL DAS REGIONAIS DE ENSINO DO DF;SECRETARIA DE ESTADO DE EDUCAÇÃO DO DF;1.500.000,00;-1.283.501,00;0;-1;216.498,00;216.498,00;216.498,00;216.498,00
ROBÉRIO NEGREIROS;18.122.6210.3467.9623 - IMPLANTAÇÃO DE PARQUE INFANTIL EM 2020;FUNDAÇÃO JARDIM ZOOLÓGICO DE BRASÍLIA;300.000,00;0;0;0;300.000,00;209.980,00;209.980,00;209.980,00
DANIEL DONIZET;06.181.6217.4031.0016 - MONITORAMENTO POR CÂMERA DE VÍDEO NA REGIÃO ADMINISTRATIVA DE SÃO SEBASTIÃO;SECRETARIA DE EST. DE  SEGURANÇA PÚBLICA DO DF;305.000,00;-3.439,12;0;-2;301.558,88;200.015,09;200.015,09;200.015,09
PROF. REGINALDO VERAS;10.302.8217.4057.0007 - ASSISTÊNCIA MÉDICA-ASSISTÊNCIA MÉDICA DOS BOMBEIROS MILITARES-DISTRITO FEDERAL;FUNDO DE SAÚDE DO CORPO DE BOMBEIROS;0;200.000,00;0;0;200.000,00;200.000,00;200.000,00;200.000,00
RAFAEL PRUDENTE;23.695.6207.9085.0016 - TRANSFERÊNCIA DE RECURSOS PARA PROJETOS TURÍSTICOS NAS REG. ADM. DO DF;SECRETARIA DE EST. DE TURISMO DO DISTRITO FEDERAL;200.000,00;0;0;0;200.000,00;200.000,00;200.000,00;200.000,00
IOLANDO ALMEIDA;12.122.6221.9068.0210 - TRANSFERÊNCIA POR MEIO DE DESCENTRALIZAÇÃO DE RECURSOS FINANCEIROS PARA AS ESCOLAS-PDAF-DISTRITO FEDERAL;SECRETARIA DE ESTADO DE EDUCAÇÃO DO DF;0;200.000,00;0;0;200.000,00;200.000,00;200.000,00;200.000,00
LEANDRO GRASS;12.122.6221.9068.0023 - DESCENTRALIZAÇÃO DE RECURSOS CEF 01 DA CANDANGOLÂNDIA;SECRETARIA DE ESTADO DE EDUCAÇÃO DO DF;0;200.000,00;0;0;200.000,00;200.000,00;200.000,00;200.000,00
HERMETO;10.122.6202.4166.0002 - PLANEJAMENTO E GESTÃO DA ATENÇÃO ESPECIALIZADA-PROGRAMA DE DESCENTRALIZAÇÃO PROGRESSIVA - PDPAS-SES-DISTRITO FEDERAL;SECRETARIA DE ESTADO DE SAÚDE DO DISTRITO FEDERAL;0;0;200.000,00;0;200.000,00;200.000,00;200.000,00;200.000,00
ROBÉRIO NEGREIROS;13.122.8203.2396.0087 - CONSERVAÇÃO DAS ESTRUTURAS FÍSICAS DE EDIFICAÇÕES PÚBLICAS-2020-DISTRITO FEDERAL;ARQUIVO PÚBLICO DO DISTRITO FEDERAL;0;200.000,00;0;0;200.000,00;200.000,00;198.079,36;198.079,36
MARTINS MACHADO;23.695.6207.9085.0017 - APOIO A EVENTOS NO DISTRITO FEDERAL;SECRETARIA DE EST. DE TURISMO DO DISTRITO FEDERAL;700.000,00;-500.000,00;0;0;200.000,00;200.000,00;200.000,00;200.000,00
ROOSEVELT VILELA;20.122.8201.2396.5400 - CONSERVAÇÃO DAS ESTRUTURAS FÍSICAS DO ESCRITÓRIO LOCAL DA EMATER/DF VARGEM BONITA;EMPRESA DE ASSIST. TÉC. E EXT. RURAL DO DF-EMATER;200.000,00;0;0;0;200.000,00;199.999,91;199.999,91;199.999,91
CLÁUDIO ABRANTES;10.122.6202.4044.0001 - ENFRETAMENTO DA EMERGÊNCIA COVID 19 - SES - DISTRITO FEDERAL;SECRETARIA DE ESTADO DE SAÚDE DO DISTRITO FEDERAL;0;0;200.000,00;0;200.000,00;199.999,01;199.999,01;199.999,01
ROBÉRIO NEGREIROS;15.752.6209.8507.6481 - MANUTENÇÃO DO SISTEMA DE ILUMINAÇÃO PÚBLICA-MODERNIZAÇÃO E EFICIENTIZAÇÃO DE ILUMINAÇÃO PÚBLICA EM 2021- FERCAL;ADMINISTRAÇÃO REGIONAL DA FERCAL - RA XXXI;200.000,00;0;0;0;200.000,00;199.677,97;199.677,96;193.288,26
REGINALDO SARDINHA;06.181.6217.3467.0066 - AQUISIÇÃO DE EQUIPAMENTOS-AQUISIÇÃO DE EQUIPAMENTOS DE PROTEÇÃO INDIVIDUAL EPI - POLÍCIA PENAL DF (EM 2020) -DISTRITO FEDERAL;SECRETARIA DE EST. DE  SEGURANÇA PÚBLICA DO DF;0;200.000,00;0;0;200.000,00;199.471,36;199.471,36;199.471,36
DANIEL DONIZET;10.303.6202.4216.0026 - AQUISIÇÃO DE MEDICAMENTOS-AQUISIÇÃO DE MEDICAMENTOS - COVID 19 - SES -DISTRITO FEDERAL;SECRETARIA DE ESTADO DE SAÚDE DO DISTRITO FEDERAL;0;0;200.000,00;0;200.000,00;198.366,50;194.376,50;194.376,50
CLÁUDIO ABRANTES;20.606.6201.4119.2902 - MANUTENÇÃO DA INFRAESTRUTURA DO SETOR AGROPECUÁRIO - TUBULAÇÃO DE CANAIS DE IRRIGAÇÃO DO NÚCLEO RURAL DE TABATINGA;SECRETARIA DE AGRIC. ABASTECIMENTO E DESENV RURAL;0;0;427.000,00;0;427.000,00;197.957,72;197.957,72;197.957,72
RODRIGO DELMASSO;27.811.6206.9080.0045 - PRAIA DO CERRADO 7ª EDIÇÃO;SECRETARIA DE ESTADO DE ESPORTE E LAZER DO DF;150.000,00;50.000,00;0;0;200.000,00;195.379,95;195.379,95;195.379,95
JOÃO CARDOSO;04.122.8205.8517.9831 - MANUTENÇÃO DE SERVIÇOS ADMINISTRATIVOS;ADMINISTRAÇÃO REGIONAL DE SOBRADINHO;110.000,00;90.000,00;0;0;200.000,00;186.977,70;155.677,70;155.677,70
DANIEL DONIZET;15.451.6209.1110.8142 - EXECUÇÃO DE OBRAS DE URBANIZAÇÃO EM SÃO SEBASTIÃO;ADMINISTRAÇÃO REGIONAL DE SÃO SEBASTIÃO;300.000,00;0;0;0;300.000,00;185.771,91;185.771,91;181.684,93
JÚLIA LUCY;27.812.6206.9080.0055 - TRANSFERÊNCIA DE RECURSOS PARA PROJETOS ESPORTIVOS;SECRETARIA DE ESTADO DE ESPORTE E LAZER DO DF;200.000,00;0;0;0;200.000,00;182.043,53;182.043,53;182.043,53
FERNANDO FERNANDES;12.122.6221.9068.0200 - TRANSFERENCIA POR MEIO DE DESCENTRALIZAÇÃO DE RECURSOS FINANCEIROS PARA ESCOLAS DO DF.;SECRETARIA DE ESTADO DE EDUCAÇÃO DO DF;2.000.000,00;-1.826.000,00;0;0;174.000,00;174.000,00;174.000,00;174.000,00
ARLETE AVELAR SAMPAIO;18.122.6210.3870.0002 - CERCAMENTO DAS MARGENS DO CÓRREGO ENTRE O ZOOLÓGICO E CANDANGOLÂNDIA;FUNDAÇÃO JARDIM ZOOLÓGICO DE BRASÍLIA;0;250.000,00;0;0;250.000,00;172.779,00;172.779,00;172.779,00
RAFAEL PRUDENTE;15.451.6206.1079.0018 - CONSTRUÇÃO DE ESPAÇOS ESPORTIVOS NAS REG. ADM. DO DF;ADMINISTRAÇÃO REGIONAL DE SÃO SEBASTIÃO;0;0;234.180,00;0;234.180,00;171.300,05;171.297,05;167.811,30
EDUARDO PEDROSA;06.181.6217.4031.0019 - MONITORAMENTO POR CÂMERAS DE VÍDEO EM TODO O DF;SECRETARIA DE EST. DE  SEGURANÇA PÚBLICA DO DF;100.000,00;71.048,55;0;0;171.048,55;170.153,11;170.153,11;170.153,11
DANIEL DONIZET;18.542.6210.2536.0010 - SANIDADE E CONTROLE REPRODUTIVO DA FAUNA-CASTRAÇÃO GRATUITA DE CÃES E GATOS-DISTRITO FEDERAL;INSTITUTO DE MEIO AMBIENTE E REC. HÍDRICOS DO DF;0;200.000,00;0;0;200.000,00;166.000,00;128.800,81;128.800,81
JÚLIA LUCY;20.606.6201.2173.0025 - PRESTAÇÃO DE SERVIÇO DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL-APOIO À REALIZAÇÃO DE MÉTODOS COLETIVOS DE EXTENSÃO RURAL NO DISTRITO FEDERAL-DF ENTORNO;EMPRESA DE ASSIST. TÉC. E EXT. RURAL DO DF-EMATER;0;223.232,44;0;0;223.232,44;163.104,44;95.578,63;95.578,63
LEANDRO GRASS;20.606.6201.2173.0021 - IMPLANTAÇÃO DE HORTAS ESCOLARES NA REDE PÚBLICA DE ENSINO DO DISTRITO FEDERAL;EMPRESA DE ASSIST. TÉC. E EXT. RURAL DO DF-EMATER;230.000,00;0;0;0;230.000,00;161.327,01;161.327,01;0
JAQUELINE SILVA;04.421.6217.2426.0070 - FORTALECIMENTO DAS AÇÕES DE APOIO AO INTERNO E SUA FAMÍLIA-RA XIII- SANTA MARIA;ADMINISTRAÇÃO REGIONAL DE SANTA MARIA;0;160.000,00;0;0;160.000,00;160.000,00;160.000,00;160.000,00
CLÁUDIO ABRANTES;19.573.6207.9118.0018 - TRANSFERÊNCIA DE RECURSOS PARA DIFUSÃO CIENTÍFICA E TECNOLÓGICA-TRANSFERÊNCIA DE RECURSOS PARA DIFUSÃO CIENTÍFICA E TECNOLÓGICA-INOVAPOL - CONCURSO PÚBLICO-DISTRITO FEDERAL;SECRETARIA DE ESTADO DE CIÊNCIA, TECNOLOGIA E INOV;0;160.000,00;0;0;160.000,00;159.999,43;148.800,00;148.800,00
ROOSEVELT VILELA;20.122.8201.2396.0083 - CONSERVAÇÃO DAS ESTRUTURAS FÍSICAS DE EDIFICAÇÕES PÚBLICAS-CONSERVAÇÃO DAS ESTRUTURAS FÍSICAS DO ESCRITÓRIO LOCAL DA EMATER/DF NUCLEO RURAL DO RIO PRETO - PLANALTINA;EMPRESA DE ASSIST. TÉC. E EXT. RURAL DO DF-EMATER;0;200.000,00;0;0;200.000,00;153.999,99;153.999,99;113.677,14
ARLETE AVELAR SAMPAIO;14.422.6211.9107.0041 - APOIO AOS PROJETOS DE DIREITOS HUMANOS;SECRETARIA DE EST. DE JUSTIÇA E CIDADANIA DO DF;0;150.000,00;0;0;150.000,00;150.000,00;150.000,00;150.000,00
JÚLIA LUCY;10.302.6202.9107.0067 - TRANSFERÊNCIA FINANCEIRA A ENTIDADES-APOIO FINANCEIRO PARA COMBATE AO CÂNCER-DISTRITO FEDERAL;SECRETARIA DE ESTADO DE SAÚDE DO DISTRITO FEDERAL;0;0;0;0;0;150.000,00;149.989,36;149.989,36
JAQUELINE SILVA;12.122.6221.9068.0183 - DESCENTRALIZAÇÃO DE RECURSOS FINANCEIROS PARA ESCOLAS DA REGIONAL DE SANTA MARIA-PROGRAMA PDAF;SECRETARIA DE ESTADO DE EDUCAÇÃO DO DF;150.000,00;0;0;0;150.000,00;150.000,00;150.000,00;150.000,00
HERMETO;04.421.6217.2426.0034 - FORTALECIMENTO DAS AÇÕES DE APOIO AO INTERNO E SUA FAMÍLIA-ADMINISTRAÇÃO REGIONAL- CANDANGOLÂNDIA;ADMINISTRAÇÃO REGIONAL DA CANDANGOLÂNDIA;0;150.000,00;0;0;150.000,00;150.000,00;150.000,00;150.000,00
LEANDRO GRASS;13.392.6219.9075.0122 - APOIO A PROJETOS CULTURAIS NO DISTRITO FEDERAL;SECRETARIA DE EST. DE TURISMO DO DISTRITO FEDERAL;0;0;150.000,00;0;150.000,00;150.000,00;150.000,00;150.000,00
IOLANDO ALMEIDA;13.392.6219.9075.0176 - APOIO À REALIZAÇÃO DE ATIVIDADES CULTURAIS;SECRETARIA DE EST. DE TURISMO DO DISTRITO FEDERAL;0;0;150.000,00;0;150.000,00;149.995,37;149.995,37;149.995,37
IOLANDO ALMEIDA;13.392.6219.9075.0152 - TRANSFERÊNCIA DE RECURSOS PARA PROJETOS CULTURAIS-PROMOÇÃO DE ATIVIDADES CULTURAIS -DISTRITO FEDERAL;SECRETARIA DE EST. DE CULTURA E ECON. CRIAT. DO DF;0;150.000,00;0;0;150.000,00;149.993,00;149.993,00;149.993,00
JAQUELINE SILVA;13.392.6219.9075.0171 - TRANSFERÊNCIA DE RECURSOS PARA PROJETOS CULTURAIS-APOIO A PROJETOS CULTURAIS NAS REGIÕES ADMINISTRATIVAS-DISTRITO FEDERAL;SECRETARIA DE EST. DE CULTURA E ECON. CRIAT. DO DF;0;298.709,00;0;-150.000,00;148.709,00;148.708,54;148.708,54;148.708,54
LEANDRO GRASS;27.812.6206.9080.0037 - APOIO A PROJETOS DE ESPORTE E LAZER NO DISTRITO FEDERAL;SECRETARIA DE ESTADO DE ESPORTE E LAZER DO DF;800.000,00;-455.700,00;0;0;344.300,00;148.026,16;148.026,16;148.026,16
RODRIGO DELMASSO;27.811.6206.9080.0048 - PROJETO DE FOMENTO AO VOLEIBOL DO DF;SECRETARIA DE ESTADO DE ESPORTE E LAZER DO DF;200.000,00;-45.000,00;0;0;155.000,00;147.954,02;147.954,02;147.954,02
IOLANDO ALMEIDA;13.392.6219.9075.0177 - PROJETOS CULTURAIS EM TODO DF;SECRETARIA DE EST. DE CULTURA E ECON. CRIAT. DO DF;0;146.541,00;0;0;146.541,00;146.540,39;146.540,39;146.540,39
HERMETO;04.421.6217.2426.0074 - FORTALECIMENTO DAS AÇÕES DE APOIO AO INTERNO E SUA FAMÍLIA-FORTALECIMENTO DAS AÇÕES DE APOIO AO INTERNO E SUA FAMÍLIA-ADMINISTRAÇÃO REGIONAL- NÚCLEO BANDEIRANTE  -DISTRITO FEDERAL;ADMINISTRAÇÃO REGIONAL DO  NÚCLEO BANDEIRANTE;0;150.000,00;0;0;150.000,00;144.071,49;144.071,49;144.071,49
